,realAltitude,kalmanAltitude
836,1553.25,1554.25
837,1553.25,1554.24
838,1553.06,1554.23
839,1552.96,1554.22
840,1552.86,1554.2
841,1552.86,1554.19
842,1553.06,1554.18
843,1553.15,1554.17
844,1553.25,1554.16
845,1553.54,1554.15
846,1553.63,1554.15
847,1553.34,1554.14
848,1553.25,1554.13
849,1553.34,1554.12
850,1553.44,1554.11
851,1553.54,1554.11
852,1553.25,1554.1
853,1553.15,1554.09
854,1553.34,1554.08
855,1553.15,1554.07
856,1553.15,1554.07
857,1552.96,1554.05
858,1552.96,1554.04
859,1552.96,1554.03
860,1552.86,1554.02
861,1553.25,1554.01
862,1553.06,1554.0
863,1552.86,1553.99
864,1553.06,1553.98
865,1552.86,1553.97
866,1553.63,1553.97
867,1553.44,1553.96
868,1553.73,1553.96
869,1553.34,1553.95
870,1553.54,1553.95
871,1553.34,1553.94
872,1553.34,1553.94
873,1553.92,1553.94
874,1554.02,1553.94
875,1553.92,1553.94
876,1554.02,1553.94
877,1553.25,1553.93
878,1554.3,1553.94
879,1554.69,1553.94
880,1554.88,1553.95
881,1554.78,1553.96
882,1554.88,1553.97
883,1554.78,1553.98
884,1555.07,1553.99
885,1555.36,1554.0
886,1554.97,1554.01
887,1555.07,1554.02
888,1555.26,1554.03
889,1555.65,1554.04
890,1555.65,1554.06
891,1555.36,1554.07
892,1555.36,1554.08
893,1555.26,1554.09
894,1555.93,1554.11
895,1555.65,1554.13
896,1556.12,1554.15
897,1555.84,1554.16
898,1555.93,1554.18
899,1556.22,1554.2
900,1556.22,1554.22
901,1556.12,1554.24
902,1556.51,1554.26
903,1555.84,1554.28
904,1555.36,1554.29
905,1555.65,1554.3
906,1555.74,1554.32
907,1556.12,1554.34
908,1556.41,1554.36
909,1556.12,1554.38
910,1556.03,1554.39
911,1555.93,1554.41
912,1555.65,1554.42
913,1555.84,1554.44
914,1556.22,1554.46
915,1556.22,1554.48
916,1556.12,1554.5
917,1556.6,1554.52
918,1556.32,1554.54
919,1556.41,1554.56
920,1556.32,1554.58
921,1556.6,1554.6
922,1556.89,1554.63
923,1556.6,1554.65
924,1556.51,1554.67
925,1556.8,1554.7
926,1556.7,1554.72
927,1556.89,1554.75
928,1556.8,1554.77
929,1556.7,1554.8
930,1556.41,1554.82
931,1556.41,1554.84
932,1556.32,1554.85
933,1556.7,1554.88
934,1555.84,1554.89
935,1556.6,1554.91
936,1556.8,1554.93
937,1556.8,1554.96
938,1556.8,1554.98
939,1556.6,1555.0
940,1556.6,1555.02
941,1556.99,1555.05
942,1556.99,1555.07
943,1556.7,1555.09
944,1556.41,1555.11
945,1556.8,1555.13
946,1556.8,1555.15
947,1556.99,1555.18
948,1556.7,1555.2
949,1556.8,1555.22
950,1556.8,1555.24
951,1556.51,1555.25
952,1556.8,1555.28
953,1556.22,1555.29
954,1556.51,1555.3
955,1556.7,1555.32
956,1556.41,1555.34
957,1556.41,1555.35
958,1557.28,1555.38
959,1556.6,1555.39
960,1557.37,1555.42
961,1556.7,1555.43
962,1556.51,1555.45
963,1556.8,1555.47
964,1556.89,1555.49
965,1556.99,1555.51
966,1557.28,1555.53
967,1557.37,1555.55
968,1557.08,1555.57
969,1556.99,1555.59
970,1557.28,1555.61
971,1557.18,1555.64
972,1557.18,1555.66
973,1557.37,1555.68
974,1557.18,1555.7
975,1557.28,1555.72
976,1557.18,1555.74
