Index, Raw, Filtered
601, 1558.52, 1560.45
602, 1558.52, 1560.49
603, 1558.71, 1560.56
604, 1558.43, 1560.56
605, 1558.14, 1560.49
606, 1558.62, 1560.54
607, 1558.62, 1560.58
608, 1559.19, 1560.75
609, 1558.81, 1560.79
610, 1558.71, 1560.81
611, 1558.52, 1560.78
612, 1559.00, 1560.86
613, 1558.52, 1560.82
614, 1558.62, 1560.81
615, 1558.43, 1560.76
616, 1558.62, 1560.76
617, 1559.00, 1560.84
618, 1558.81, 1560.87
619, 1558.71, 1560.87
620, 1559.10, 1560.95
621, 1558.71, 1560.94
622, 1558.71, 1560.92
623, 1558.81, 1560.93
624, 1558.52, 1560.88
625, 1558.52, 1560.83
626, 1558.24, 1560.73
627, 1558.43, 1560.69
628, 1558.62, 1560.70
629, 1558.43, 1560.67
630, 1558.81, 1560.73
631, 1558.52, 1560.71
632, 1558.62, 1560.72
633, 1558.24, 1560.64
634, 1559.00, 1560.75
635, 1558.91, 1560.81
636, 1558.81, 1560.84
637, 1558.52, 1560.80
638, 1558.24, 1560.71
639, 1558.52, 1560.69
640, 1558.33, 1560.64
641, 1558.62, 1560.66
642, 1558.81, 1560.72
643, 1558.91, 1560.79
644, 1558.81, 1560.83
645, 1558.52, 1560.79
646, 1559.10, 1560.89
647, 1558.71, 1560.89
648, 1558.52, 1560.84
649, 1558.52, 1560.80
650, 1558.81, 1560.83
651, 1558.81, 1560.86
652, 1558.43, 1560.80
653, 1559.10, 1560.89
654, 1558.91, 1560.93
655, 1558.71, 1560.92
656, 1559.00, 1560.97
657, 1559.00, 1561.01
658, 1558.81, 1561.00
659, 1558.91, 1561.02
660, 1559.19, 1561.09
661, 1558.91, 1561.09
662, 1559.00, 1561.11
663, 1558.91, 1561.10
664, 1558.81, 1561.07
665, 1558.62, 1561.01
666, 1558.91, 1561.02
667, 1558.91, 1561.03
668, 1558.43, 1560.93
669, 1559.10, 1561.00
670, 1558.91, 1561.01
671, 1559.00, 1561.04
672, 1559.19, 1561.11
673, 1559.10, 1561.14
674, 1558.52, 1561.04
675, 1558.62, 1560.98
676, 1558.81, 1560.97
677, 1558.71, 1560.95
678, 1558.71, 1560.93
679, 1558.71, 1560.91
680, 1558.62, 1560.87
681, 1559.19, 1560.97
682, 1558.91, 1560.99
683, 1558.71, 1560.96
684, 1558.71, 1560.93
685, 1558.71, 1560.92
686, 1558.43, 1560.84
687, 1558.91, 1560.88
688, 1558.52, 1560.83
689, 1558.91, 1560.87
690, 1558.62, 1560.84
691, 1559.10, 1560.93
692, 1558.33, 1560.82
693, 1558.71, 1560.83
694, 1559.39, 1560.98
695, 1558.71, 1560.95
696, 1558.62, 1560.91
697, 1558.91, 1560.94
698, 1558.43, 1560.85
699, 1558.81, 1560.87
700, 1559.19, 1560.97
701, 1558.91, 1560.99
702, 1559.10, 1561.05
703, 1559.10, 1561.09
704, 1559.39, 1561.19
705, 1558.33, 1561.04
706, 1558.71, 1561.00
707, 1558.52, 1560.92
708, 1558.91, 1560.95
709, 1558.81, 1560.95
710, 1558.43, 1560.86
711, 1558.62, 1560.83
712, 1558.24, 1560.73
713, 1558.71, 1560.75
714, 1558.62, 1560.74
715, 1558.52, 1560.72
716, 1558.81, 1560.76
717, 1558.91, 1560.82
718, 1558.43, 1560.76
719, 1558.62, 1560.75
720, 1558.91, 1560.81
721, 1558.52, 1560.78
722, 1558.33, 1560.70
723, 1558.71, 1560.73
724, 1558.71, 1560.75
725, 1558.71, 1560.77
726, 1558.62, 1560.76
727, 1558.24, 1560.67
